index Achaemenid_architecture American_craftsman_style American_Foursquare_architecture Ancient_Egyptian_architecture Art_Deco_architecture Art_Nouveau_architecture Baroque_architecture Bauhaus_architecture Beaux-Arts_architecture Byzantine_architecture Chicago_school_architecture Colonial_architecture Deconstructivism Edwardian_architecture Georgian_architecture Gothic_architecture Greek_Revival_architecture International_style Novelty_architecture Palladian_architecture Postmodern_architecture Queen_Anne_architecture Romanesque_architecture Russian_Revival_architecture Tudor_Revival_architecture eastern_european american colonial_victorian modern western_european ancient
188_800px-Takhtejamshid_1158.jpg 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1
194_800px-Persepolis-001.JPG 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1
199_800px-Persepolis_P100c_NPG_bull.jpg 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1
217_800px-Persepolis_24.11.2009_13-05-33.jpg 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1
21_Tonbeaux-achemenides.JPG 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1
225_800px-Takhtejamshid_1108.jpg 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1
240_800px-Persepolis_24.11.2009_11-56-59.jpg 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1
241_800px-Takhtejamshid53.jpg 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1
242_800px-Persepolis_king_P100C.jpg 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1
247_800px-Persepolis_relief_sud_P100C_haut.jpg 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1
